property_type,state,lat,lon,area_m2,price_usd
house,Nuevo León,25.680067,-100.458626,336,"$142,253.50 "
house,Estado de México,19.305643,-98.901535,120,"$42,159.18 "
house,Estado de México,19.684991,-99.225298,60,"$37,670.83 "
house,Yucatán,21.008295,-89.591019,282,"$123,052.11 "
apartment,Guerrero,16.8572859,-99.9089643,130,"$104,870.96 "
house,San Luis Potosí,22.093321,-100.895958,110,"$46,840.27 "
house,Puebla,23.634501,-102.552788,156,"$94,835.67 "
house,San Luis Potosí,22.1387477,-101.0181525,200,"$97,469.99 "
house,Estado de México,19.428043,-99.227384,309,"$306,529.96 "
house,Hidalgo,20.059217,-98.790423,200,"$136,984.85 "
house,Yucatán,21.292982,-89.603973,100,"$139,652.29 "
house,Morelos,18.903454,-99.056687,145,"$89,567.02 "
house,Distrito Federal,19.411699,-99.166247,120,"$230,874.80 "
house,Morelos,18.89179165,-99.22272205,183,"$147,557.13 "
house,Yucatán,21.0424858,-89.5568382,107,"$50,579.02 "
apartment,Querétaro,20.711874,-100.448934,140,"$102,211.77 "
apartment,Distrito Federal,19.428152,-99.106194,67,"$79,029.72 "
house,Estado de México,19.234822,-99.559659,115,"$105,372.96 "
house,Estado de México,19.558449,-99.22973,180,"$67,965.56 "
house,Chihuahua,28.652079,-106.109581,227,"$110,641.61 "
house,Hidalgo,,,175,"$80,629.43 "
house,Nuevo León,25.707024,-100.21376,250,"$110,667.85 "
house,Aguascalientes,21.878481,-102.332787,215,"$136,490.35 "
house,Veracruz de Ignacio de la Llave,19.155567,-96.13928,165,"$60,589.45 "
house,Hidalgo,20.05687984,-98.76537555,200,"$68,508.67 "
house,Nuevo León,25.634661,-100.295769,242,"$76,413.51 "
apartment,Distrito Federal,19.367931,-99.170262,120,"$120,652.04 "
house,Distrito Federal,19.360526,-99.301674,220,"$87,703.06 "
house,Distrito Federal,19.464398,-99.113317,304,"$259,470.39 "
house,Puebla,19.01195,-98.219383,385,"$237,089.17 "
house,Yucatán,,,110,"$47,154.40 "
apartment,Yucatán,21.2929822,-89.6039725,255,"$236,144.12 "
house,Distrito Federal,19.351396,-99.130999,225,"$237,089.17 "
house,Morelos,18.93409,-99.254997,218,"$143,530.93 "
house,Querétaro,20.6990975,-100.4705682,276,"$131,747.44 "
house,Yucatán,21.030668,-89.599258,100,"$79,029.72 "
house,Sinaloa,,,137,"$76,202.72 "
house,Yucatán,20.996355,-89.583946,201,"$92,223.21 "
house,Puebla,18.983141,-98.265739,135,"$42,149.18 "
house,Estado de México,19.2826098,-99.6556653,90,"$56,387.90 "
house,San Luis Potosí,,,164,"$89,324.76 "
house,Tamaulipas,22.4107891,-97.9342897,176,"$60,603.82 "
house,Tabasco,18.263374,-93.179222,104,"$39,514.86 "
house,Distrito Federal,19.396669,-99.067626,220,"$110,050.31 "
house,Yucatán,21.039522,-89.563911,174,"$65,858.10 "
house,Estado de México,19.545097,-99.21289,233,"$171,306.94 "
apartment,Puebla,19.054064,-98.245911,95,"$84,318.36 "
house,Estado de México,19.62378,-99.199085,153,"$108,007.29 "
house,Sinaloa,23.240411,-106.432565,189,"$63,118.40 "
apartment,Distrito Federal,19.452331,-99.177162,90,"$73,234.21 "
house,Quintana Roo,21.129547,-86.817017,275,"$173,865.39 "
house,Morelos,,,170,"$57,955.13 "
apartment,Distrito Federal,19.342083,-99.0532159,86,"$90,115.25 "
house,Nuevo León,25.702822,-100.304192,148,"$94,594.66 "
apartment,Morelos,,,89,"$57,955.13 "
house,Veracruz de Ignacio de la Llave,19.563358,-96.939697,110,"$39,524.23 "
house,Veracruz de Ignacio de la Llave,19.205341,-96.197784,130,"$84,298.37 "
house,Yucatán,21.0424858,-89.5568382,185,"$76,677.01 "
apartment,Guerrero,16.829584,-99.9083,154,"$114,487.72 "
house,Querétaro,20.726007,-100.442642,273,"$181,811.47 "
house,San Luis Potosí,23.634501,-102.552788,187,"$94,308.80 "
house,Distrito Federal,19.395069,-99.204927,110,"$84,825.23 "
apartment,Distrito Federal,19.400004,-99.16735,94,"$217,911.29 "
house,Tabasco,17.979631,-92.965249,100,"$65,858.10 "
house,Querétaro,20.5887932,-100.3898881,84,"$49,537.03 "
house,Yucatán,21.006756,-89.570984,162,"$76,413.51 "
house,Yucatán,21.013465,-89.591041,239,"$283,558.65 "
house,Chiapas,19.671066,-101.213341,175,"$92,201.34 "
house,Veracruz de Ignacio de la Llave,18.1495073,-94.4422,200,"$158,096.93 "
house,Nuevo León,25.7418083,-100.4057781,211,"$124,501.99 "
house,Yucatán,20.968147,-89.629875,123,"$41,095.45 "
house,Tamaulipas,22.2621259,-97.8238578,141,"$78,502.86 "
house,Veracruz de Ignacio de la Llave,,,100,"$79,029.72 "
house,Jalisco,20.767952,-103.40899,148,"$96,363.57 "
house,Veracruz de Ignacio de la Llave,,,165,"$68,508.67 "
house,Morelos,18.795519,-99.231445,150,"$67,438.69 "
apartment,Distrito Federal,19.449392,-99.138544,70,"$42,676.05 "
apartment,Quintana Roo,21.15640821,-86.84881411,95,"$68,508.67 "
house,Tamaulipas,22.3160889,-97.8884841,165,"$76,940.50 "
apartment,Distrito Federal,19.486255,-99.214043,65,"$46,890.97 "
apartment,Veracruz de Ignacio de la Llave,,,250,"$94,835.67 "
apartment,Distrito Federal,19.36594,-99.163153,85,"$106,848.18 "
house,Veracruz de Ignacio de la Llave,19.146434,-96.161783,91,"$42,149.18 "
house,Chihuahua,,,187,"$73,778.56 "
apartment,Distrito Federal,,,81,"$161,826.53 "
apartment,Guerrero,,,155,"$123,842.59 "
house,Querétaro,,,270,"$163,366.83 "
house,Yucatán,21.035221,-89.635757,204,"$93,781.94 "
house,Guerrero,16.86432868,-99.88790821,170,"$115,937.75 "
house,Querétaro,20.726007,-100.442642,180,"$109,324.45 "
house,Sinaloa,23.261934,-106.408936,124,"$67,702.13 "
house,Quintana Roo,21.139086,-86.84964,66,"$36,880.53 "
house,Veracruz de Ignacio de la Llave,25.535524,-103.379302,276,"$63,223.78 "
house,Puebla,,,262,"$173,865.39 "
house,Yucatán,21.0043658,-89.5614233,79,"$36,889.28 "
apartment,Distrito Federal,19.364613,-99.161892,70,"$93,255.07 "
apartment,Distrito Federal,19.366505,-99.222297,72,"$64,281.19 "
house,Veracruz de Ignacio de la Llave,,,146,"$46,902.09 "
house,Querétaro,20.6521079,-100.3491545,250,"$144,922.18 "
house,Yucatán,21.03504976,-89.59907413,137,"$78,995.76 "
apartment,Distrito Federal,19.354947,-99.087529,65,"$37,386.32 "
house,Yucatán,21.008295,-89.591019,142,"$91,169.23 "
house,Querétaro,20.6476044,-100.35253,150,"$104,319.23 "
house,Yucatán,21.030668,-89.599258,305,"$184,182.92 "
house,Distrito Federal,19.371317,-99.140957,300,"$123,981.30 "
apartment,Veracruz de Ignacio de la Llave,19.1356101,-96.1142685,105,"$50,064.02 "
apartment,Distrito Federal,19.377169,-99.187643,90,"$56,514.99 "
apartment,Distrito Federal,19.381591,-99.165397,124,"$270,872.74 "
apartment,Morelos,,,210,"$221,283.23 "
house,San Luis Potosí,,,181,"$146,731.85 "
house,Yucatán,21.039522,-89.563911,230,"$92,223.21 "
house,Jalisco,20.755833,-103.413251,180,"$144,887.83 "
house,Querétaro,,,121,"$84,237.78 "
house,Veracruz de Ignacio de la Llave,,,108,"$41,358.88 "
house,Estado de México,19.27223,-99.575691,300,"$184,446.42 "
apartment,Veracruz de Ignacio de la Llave,19.191416,-96.127518,70,"$62,448.28 "
house,San Luis Potosí,22.121187,-100.951736,154,"$57,968.87 "
house,Tabasco,17.987557,-92.929147,150,"$71,126.75 "
house,Morelos,,,367,"$189,671.34 "
house,Puebla,,,120,"$78,091.53 "
house,Estado de México,19.4653884,-99.5940417,70,"$39,524.23 "
house,Morelos,18.8493694,-98.9479805,250,"$84,298.37 "
house,Yucatán,21.05294348,-89.66792107,141,"$62,975.27 "
house,Morelos,18.942068,-99.242531,320,"$289,844.37 "
house,Guerrero,16.808875,-99.821739,104,"$102,738.64 "
apartment,Estado de México,19.531773,-99.245873,174,"$326,656.19 "
house,Tamaulipas,25.860595,-97.504808,212,"$71,126.75 "
house,Guanajuato,21.1666103,-101.6315416,210,"$131,716.20 "
house,Morelos,18.882006,-99.148384,240,"$100,104.31 "
apartment,Puebla,19.002178,-98.271063,87,"$173,986.78 "
house,Estado de México,19.425918,-99.230123,300,"$215,222.62 "
house,Colima,,,103,"$66,384.96 "
house,Morelos,18.8736789,-99.1922665,257,"$188,398.84 "
house,San Luis Potosí,22.186096,-101.005652,240,"$144,887.83 "
house,Morelos,,,360,"$237,145.40 "
house,Yucatán,21.075163,-89.516731,189,"$86,932.69 "
house,Chihuahua,,,246,"$68,492.42 "
house,Puebla,18.984862,-98.222234,289,"$226,551.88 "
apartment,Distrito Federal,19.3650311,-99.1477363,83,"$139,652.29 "
apartment,Morelos,18.917393,-99.221062,127,"$57,955.13 "
house,Distrito Federal,19.399375,-99.149986,95,"$246,994.23 "
house,Baja California,32.5622552,-115.3169575,75,"$42,149.18 "
apartment,Distrito Federal,19.452689,-99.117987,60,"$36,269.27 "
house,Distrito Federal,19.336104,-99.101761,70,"$50,087.30 "
house,Zacatecas,23.634501,-102.552788,138,"$63,223.78 "
house,Veracruz de Ignacio de la Llave,,,140,"$55,320.80 "
house,Jalisco,20.567506,-103.48332,149,"$110,588.92 "
house,Nayarit,20.722561,-105.270132,84,"$39,514.86 "
house,Morelos,,,360,"$136,984.85 "
apartment,Distrito Federal,19.3987957,-99.1594498,110,"$274,034.68 "
house,San Luis Potosí,22.1176283,-101.0151243,380,"$266,066.74 "
house,Yucatán,21.006756,-89.570984,90,"$39,462.17 "
house,Veracruz de Ignacio de la Llave,25.510739,-103.357425,140,"$39,514.86 "
house,Tamaulipas,22.2695545,-97.8750355,140,"$71,301.71 "
house,Yucatán,,,154,"$89,324.76 "
house,Estado de México,19.3308425,-99.5817205,140,"$121,207.64 "
house,Estado de México,19.2398293,-99.617673,332,"$242,415.29 "
house,Estado de México,19.4689569,-99.2727792,372,"$144,887.83 "
house,Morelos,18.917542,-98.963181,200,"$131,747.44 "
house,Estado de México,,,230,"$78,502.86 "
apartment,Nuevo León,,,132,"$259,350.11 "
house,Tabasco,17.97280546,-92.95154875,134,"$104,343.97 "
house,Nuevo León,25.79255,-100.274638,159,"$74,972.86 "
apartment,Distrito Federal,19.3928136,-99.1738213,112,"$312,957.71 "
house,Sinaloa,24.804811,-107.46476,95,"$47,417.83 "
house,Aguascalientes,21.905983,-102.286817,157,"$41,622.32 "
house,Morelos,18.900945,-99.232574,279,"$142,253.50 "
house,Tamaulipas,22.2900902,-97.8437788,75,"$34,254.33 "
apartment,Distrito Federal,19.375374,-99.137657,80,"$34,077.61 "
house,Nuevo León,25.660711,-100.289459,222,"$118,544.58 "
house,Guanajuato,,,216,"$94,858.16 "
apartment,Puebla,19.02065826,-98.22384596,100,"$103,606.19 "
house,Yucatán,20.96083848,-89.62156874,160,"$52,159.61 "
apartment,Distrito Federal,19.409369,-99.171906,83,"$263,494.89 "
house,Estado de México,,,110,"$141,726.64 "
house,Nuevo León,25.7584835,-100.4052434,131,"$92,023.21 "
house,Nuevo León,25.712547,-100.249496,210,"$83,000.89 "
house,Yucatán,21.05119626,-89.53858227,168,"$80,112.98 "
house,Puebla,,,260,"$200,256.11 "
house,Puebla,19.09276402,-98.22678055,100,"$51,644.99 "
house,Chiapas,,,212,"$252,895.12 "
house,Jalisco,20.792152,-103.475021,104,"$39,514.86 "
house,Guanajuato,21.121012,-101.600136,207,"$121,207.64 "
house,Morelos,,,302,"$197,621.16 "
house,San Luis Potosí,22.18307725,-101.0302325,92,"$34,781.32 "
apartment,Distrito Federal,19.404032,-99.179694,103,"$209,902.95 "
house,Chiapas,,,168,"$84,298.37 "
house,Morelos,18.814863,-99.211439,97,"$68,492.42 "
apartment,Distrito Federal,19.368544,-99.163605,105,"$284,507.01 "
house,Puebla,19.0550344,-98.2731403,330,"$189,716.32 "
house,Yucatán,21.04307817,-89.55160305,190,"$89,061.27 "
house,Estado de México,19.699144,-98.978363,180,"$68,492.42 "
apartment,Distrito Federal,19.341894,-99.224525,96,"$156,958.30 "
house,Querétaro,20.596285,-100.357695,300,"$144,887.83 "
apartment,Guerrero,,,141,"$100,128.05 "
apartment,Puebla,19.035632,-98.223132,92,"$109,587.88 "
house,Puebla,19.0217424,-98.2604216,215,"$155,461.98 "
house,Chiapas,19.987465,-102.284888,330,"$210,745.93 "
apartment,Morelos,18.957352,-99.260544,76,"$52,698.97 "
house,Morelos,18.845494,-99.20547,136,"$71,765.83 "
apartment,Distrito Federal,19.366901,-99.297272,65,"$109,387.67 "
house,San Luis Potosí,22.18408015,-101.0286072,110,"$39,830.98 "
house,Estado de México,19.615452,-99.206348,70,"$47,681.26 "
house,Estado de México,19.590134,-99.280419,100,"$44,783.51 "
house,Distrito Federal,19.473907,-99.177444,320,"$91,042.24 "
house,San Luis Potosí,22.149093,-100.889863,180,"$45,321.12 "
house,Estado de México,,,326,"$200,203.41 "
house,Estado de México,19.641889,-99.1774462,250,"$79,048.46 "
house,Veracruz de Ignacio de la Llave,19.089373,-96.130805,168,"$94,835.67 "
house,Querétaro,20.606224,-100.329168,165,"$97,469.99 "
house,Yucatán,21.001256,-89.600723,325,"$183,296.27 "
house,Morelos,,,180,"$69,562.65 "
apartment,Morelos,,,205,"$131,747.44 "
apartment,Nuevo León,25.7302897,-100.3965403,160,"$104,497.22 "
house,Morelos,,,225,"$42,043.81 "
house,Puebla,19.004742,-98.235992,180,"$63,223.78 "
house,Morelos,18.920158,-99.180214,85,"$48,734.99 "
house,Morelos,18.916586,-99.214371,272,"$262,967.90 "
house,Puebla,19.063091,-98.296013,252,"$130,873.22 "
apartment,Distrito Federal,19.371321,-99.140985,84,"$93,465.82 "
apartment,Puebla,19.0378006,-98.3007086,120,"$166,001.78 "
apartment,Distrito Federal,19.362824,-99.266178,162,"$210,745.93 "
house,Chiapas,16.780325,-93.119637,180,"$105,372.96 "
house,Yucatán,21.039522,-89.563911,178,"$60,076.83 "
apartment,Distrito Federal,19.465454,-99.162665,69,"$75,375.18 "
house,Jalisco,20.700756,-103.333385,300,"$94,308.80 "
house,Baja California Sur,22.886851,-109.946872,94,"$50,485.62 "
house,Querétaro,20.549404,-100.378563,110,"$76,395.40 "
house,Distrito Federal,19.353288,-99.244721,150,"$136,405.30 "
house,Estado de México,19.278994,-99.559006,136,"$89,567.02 "
house,Puebla,18.985191,-98.186447,148,"$105,372.96 "
apartment,Jalisco,20.67603,-103.425418,125,"$157,479.90 "
house,Guanajuato,,,330,"$280,818.95 "
house,Veracruz de Ignacio de la Llave,,,240,"$89,588.26 "
apartment,Guerrero,16.87630091,-99.88293272,88,"$39,260.73 "
house,Nayarit,21.525436,-104.923553,115,"$47,429.08 "
apartment,Chiapas,16.748743,-93.066491,73,"$43,202.91 "
apartment,Distrito Federal,19.432657,-99.177444,150,"$135,085.08 "
house,Querétaro,20.618279,-100.346985,160,"$99,601.06 "
house,Estado de México,19.72876,-99.461708,236,"$237,145.40 "
house,Veracruz de Ignacio de la Llave,25.51506,-103.413092,230,"$44,783.51 "
house,Chiapas,,,72,"$39,514.86 "
house,Querétaro,20.419854,-99.998039,89,"$40,568.59 "
house,Morelos,18.804197,-98.932816,117,"$65,858.10 "
apartment,San Luis Potosí,22.133104,-100.982117,100,"$53,740.21 "
apartment,Distrito Federal,19.400249,-99.177444,150,"$273,969.71 "
house,Distrito Federal,,,60,"$63,223.78 "
house,Yucatán,21.03071,-89.618103,382,"$223,970.65 "
house,Jalisco,20.649154,-105.202538,90,"$33,719.34 "
house,Baja California,32.426032,-117.033916,140,"$62,570.46 "
house,Tamaulipas,26.058614,-98.322969,252,"$66,933.76 "
house,Veracruz de Ignacio de la Llave,25.599048,-103.412397,189,"$64,277.51 "
house,Baja California Sur,24.129181,-110.31971,110,"$68,492.42 "
house,Tamaulipas,22.238298,-97.841892,200,"$110,641.61 "
house,Puebla,19.046561,-98.190349,110,"$100,735.92 "
apartment,Distrito Federal,19.451872,-99.173522,70,"$66,911.83 "
house,Estado de México,19.253367,-99.606303,260,"$324,021.87 "
house,Sonora,29.0287123,-110.97103,200,"$47,417.83 "
apartment,Distrito Federal,19.45569471,-99.16357613,76,"$121,355.20 "
house,Jalisco,20.7670434,-103.3941011,195,"$135,931.12 "
apartment,Distrito Federal,19.336195,-99.23692,100,"$74,920.17 "
apartment,Puebla,,,212,"$282,821.04 "
house,San Luis Potosí,22.1564699,-100.9855409,110,"$39,524.23 "
apartment,Morelos,,,124,"$152,790.80 "
house,Yucatán,21.0634817,-89.6110378,296,"$137,017.34 "
house,Yucatán,21.135925,-89.6446768,200,"$79,029.72 "
house,Querétaro,20.547818,-100.407691,80,"$51,632.75 "
house,Morelos,18.954132,-99.266083,210,"$86,932.69 "
house,Quintana Roo,21.152508,-86.850891,180,"$89,040.15 "
house,Morelos,18.882725,-99.163605,112,"$86,953.31 "
house,Tabasco,17.97423,-92.923836,60,"$34,246.21 "
house,Chiapas,16.740764,-93.089951,148,"$84,298.37 "
house,Nuevo León,25.764894,-100.264221,160,"$65,858.10 "
apartment,Querétaro,20.60782,-100.366721,110,"$131,716.20 "
house,Distrito Federal,19.469688,-99.085456,248,"$176,541.57 "
apartment,Distrito Federal,19.27112369,-99.20883894,72,"$40,645.77 "
apartment,Jalisco,20.723133,-103.418115,84,"$178,080.31 "
apartment,Distrito Federal,,,72,"$84,318.36 "
house,Chiapas,16.76764,-93.178283,250,"$173,865.39 "
house,Yucatán,20.9673702,-89.5925857,290,"$123,315.60 "
house,Yucatán,21.017197,-89.574516,158,"$102,763.00 "
house,Morelos,18.862602,-99.213448,320,"$173,906.62 "
house,Veracruz de Ignacio de la Llave,19.123617,-96.113161,220,"$99,577.45 "
house,Distrito Federal,19.355938,-99.129918,200,"$315,618.38 "
house,Baja California Sur,19.35913,-98.983431,189,"$62,696.91 "
house,Yucatán,20.989016,-89.632225,300,"$131,747.44 "
house,Yucatán,,,220,"$112,617.71 "
house,Quintana Roo,,,81,"$45,321.12 "
house,Veracruz de Ignacio de la Llave,25.453195,-100.935486,203,"$94,818.28 "
house,Yucatán,20.938659,-89.615316,173,"$50,052.15 "
house,Tamaulipas,22.270658,-97.849037,263,"$176,541.57 "
house,Chiapas,16.78141,-93.096451,87,"$51,381.50 "
apartment,Estado de México,,,157,"$216,014.58 "
house,Chiapas,19.691938,-101.176615,220,"$155,425.12 "
house,Estado de México,19.64079,-99.098691,105,"$68,492.42 "
apartment,Puebla,19.011347,-98.246264,139,"$179,134.04 "
